,OLDID,VILLAGE,AREA,Type,LatGRS,LongGRS,Y_LO,X_LO,ORTHOH,lzon,SURVREC
1635,4M28,MULAMBAKWENA,2027,RM,-20.618551504711,27.44253861404454,-46164.9,2280608.85,,27.0,997
1636,4M3,MULAMBAKWENA,2027,RM,-20.57706087138822,27.548094863757555,-57183.06,2276048.67,,27.0,997
1637,4M4,MULAMBAKWENA,2027,RM,-20.58016308703953,27.54856459242305,-57230.88,2276392.3,,27.0,997
1638,4M5,MULAMBAKWENA,2027,RM,-20.586369346856998,27.547135954279003,-57079.62,2277078.93,,27.0,997
1639,4M6,MULAMBAKWENA,2027,RM,-20.590463491686386,27.54889205081092,-57261.18,2277532.83,,27.0,997
1640,4M7,MULAMBAKWENA,2027,RM,-20.59524694472905,27.549698313082853,-57343.45,2278062.72,,27.0,997
1641,4M8,MULAMBAKWENA,2027,RM,-20.59892686656693,27.549596496325027,-57331.46,2278470.11,,27.0,997
1642,4M9,MULAMBAKWENA,2027,RM,-20.60511737747653,27.54803866005893,-57166.75,2279154.95,,27.0,997
1655,4T/21,BRAY,2127,BM,-21.970138888888886,27.67141666666667,-69377.198,2430352.696,1031.59,27.0,
1658,4T/24,BRAY,2127,BM,-21.967055555555557,27.72322222222222,-74729.76299999999,2430035.65,1043.42,27.0,
1659,4T/25,BRAY,2127,BM,-21.967444444444443,27.744111111111117,-76887.208,2430089.06,1051.2,27.0,
1660,4T/26,BRAY,2127,BM,-21.973138888888887,27.761333333333333,-78662.988,2430728.395,1049.9,27.0,
1661,4T/27,BRAY,2127,BM,-21.976388888888888,27.78005555555556,-80594.937,2431098.0330000003,1041.66,27.0,
1662,4T/28,BRAY,2127,BM,-21.972055555555556,27.796861111111117,-82333.218,2430627.117,1040.84,27.0,
1672,5/1,MAUN,2023,BM,-20.14258333333333,23.291694444444445,-30541.312,2227883.82,940.73,23.0,
1673,5/10,MAUN,2023,BM,-20.228666666666665,23.19083333333333,-19984.986,2237398.511,937.03,23.0,
1693,5/11,MAUN,2023,BM,-20.23705555555556,23.178972222222225,-18744.548,2238325.836,937.16,23.0,
1787,5/2,MAUN,2023,BM,-20.1525,23.281416666666665,-29464.875,2228979.809,937.28,23.0,
1797,5/3,MAUN,2023,BM,-20.250777777777778,4.693703694444444,-15948.047,2239842.184,937.87,23.0,
1808,5/4,MAUN,2023,BM,-20.18338888888889,23.249222222222222,-26093.915,2232394.044,937.21,23.0,
1829,5/6,MAUN,2023,BM,-20.1905,23.239,-25024.291,2233179.721,938.6,23.0,
1850,5/8,MAUN,2023,BM,-20.209888888888887,23.212555555555557,-22257.533,2235322.442,937.47,23.0,
1865,5/9,MAUN,2023,BM,-20.217888888888886,23.202666666666666,-21222.978,2236206.804,937.18,23.0,
1959,6/17,MAUN,1923,BM,-19.95319611111111,23.474853416666665,-49751.98,2206960.06,937.82,23.0,926
1961,6/19,,1923,BM,-19.940444444444445,23.50213888888889,-52611.482,2205558.0130000003,945.81,23.0,
1966,6/23,MAUN,1923,BM,-19.897390777777776,23.53967383333333,-56557.36,2200802.509,937.4,23.0,926
1967,6/24,,1923,BM,-19.886277777777774,23.550916666666662,-57737.669,2199577.406,941.72,23.0,
2017,6/7,,2023,BM,-20.074638888888888,23.349666666666664,-36618.326,2220373.5930000003,933.86,23.0,
2028,6/8,,2023,BM,-20.058805555555555,23.358,-37493.749,2218622.59,934.91,23.0,
2047,6/94,,2023,BM,-20.047111111111118,23.369055555555555,-38653.131,2217330.4590000003,922.6,23.0,
2065,6/M9,MAUN,2023,BM,-20.04808605555556,23.36859588888889,-38605.69,2217437.011,937.14,23.0,926
2166,7/F1,KACHIKAU,1824,BM,-18.150743444444444,24.50392325,52454.53400000001,2007443.687,934.46,25.0,
2391,9/138,SEKOMA,2423,BM,-24.52045683333333,23.9380645,-95107.029,2712966.5310000004,1078.02,23.0,960
2392,9/139,SEKOMA,2423,BM,-24.504435666666662,23.913417888888887,-92620.901,2711175.01,1065.15,23.0,960
2410,9/158,MABUTSANE,2423,BM,-24.40073358333333,23.605605166666667,-61472.02099999999,2699516.249,1093.79,23.0,915
2411,9/159,MABUTSANE,2423,BM,-24.395225944444444,23.589833055555555,-59874.71900000001,2698899.27,1093.47,23.0,915
